127.0.0.1 - - [19/Jan/2018:13:31:22 +0900] "GET / HTTP/1.1" 404 1070
0:0:0:0:0:0:0:1 - - [19/Jan/2018:13:31:23 +0900] "GET /JSPBoard/BoardPage/WriteBoard.jsp HTTP/1.1" 200 1015
0:0:0:0:0:0:0:1 - - [19/Jan/2018:13:31:23 +0900] "GET /JSPBoard/se2/photo_uploader/plugin/hp_SE2M_AttachQuickPhoto.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jan/2018:13:31:23 +0900] "GET /JSPBoard/se2/js/HuskyEZCreator.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jan/2018:13:31:23 +0900] "GET /JSPBoard/js/jquery-3.2.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jan/2018:13:31:24 +0900] "GET /JSPBoard/se2/SmartEditor2Skin.html HTTP/1.1" 200 100606
0:0:0:0:0:0:0:1 - - [19/Jan/2018:13:31:24 +0900] "GET /JSPBoard/se2/js/jindo.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jan/2018:13:31:24 +0900] "GET /JSPBoard/se2/js/jindo_component.js HTTP/1.1" 200 89236
0:0:0:0:0:0:0:1 - - [19/Jan/2018:13:31:24 +0900] "GET /JSPBoard/se2/js/smarteditor2.min.js HTTP/1.1" 200 324208
0:0:0:0:0:0:0:1 - - [19/Jan/2018:13:31:24 +0900] "GET /JSPBoard/se2/js/SE2B_Configuration_General.js HTTP/1.1" 200 2281
0:0:0:0:0:0:0:1 - - [19/Jan/2018:13:31:24 +0900] "GET /JSPBoard/se2/css/smart_editor2.css HTTP/1.1" 200 20965
0:0:0:0:0:0:0:1 - - [19/Jan/2018:13:31:24 +0900] "GET /JSPBoard/se2/js/SE2B_Configuration_Service.js HTTP/1.1" 200 1965
0:0:0:0:0:0:0:1 - - [19/Jan/2018:13:31:24 +0900] "GET /JSPBoard/se2/js/SE2BasicCreator.js HTTP/1.1" 200 5615
0:0:0:0:0:0:0:1 - - [19/Jan/2018:13:31:24 +0900] "GET /JSPBoard/se2/img/ko_KR/text_tool_set.png HTTP/1.1" 200 11403
